Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-05-19 10:12:40,2022-05-19 10:13:21,00:00:41,Warning,718,Battery charge cycle axis 3 error,,Warnings (27),Full Performance,,
2022-05-19 12:39:57,-,-,Informational,100100,Open disc brake,,,Full Performance,,
2022-05-19 12:39:57,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 12:40:02,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 12:40:02,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 12:42:02,-,-,Informational,100140,System test 1,,,Technical Standby,,
2022-05-19 12:42:09,-,-,Informational,100150,System test 2,,,Technical Standby,,
2022-05-19 12:42:24,-,-,Informational,100160,System test 3,,,Technical Standby,,
2022-05-19 12:42:39,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 12:42:49,2022-05-19 12:49:07,00:06:18,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance,,
2022-05-19 12:43:01,2022-05-19 12:43:41,00:00:40,Stop,710,Battery test,,Operating states  (28),Technical Standby,13 (Int) Operating States,
2022-05-19 12:43:01,-,-,Informational,100030,Brake program 180,,,Technical Standby,,
2022-05-19 12:43:41,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 12:43:47,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 12:43:59,-,-,Informational,100140,System test 1,,,Technical Standby,,
2022-05-19 12:44:06,-,-,Informational,100150,System test 2,,,Technical Standby,,
2022-05-19 12:44:21,-,-,Informational,100160,System test 3,,,Technical Standby,,
2022-05-19 12:44:36,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 12:46:31,2022-05-19 12:47:17,00:00:46,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Scheduled Maintenance,
